content,app
Amazing app. digital banking at its best,UBL Digital
great app and good service,UBL Digital
one of the best digital app in the world another thing is best bank best social worker best bank in all over the world,UBL Digital
GOOD APP AND GOOD BANK 🏦 KEEP IT UP,UBL Digital
amazing app weldone ubl,UBL Digital
"I activated my UBL debit card through a call, and without any usage or prior notification, Rs. 2,900 plus Rs. 435 FED was deducted the very next day. This is extremely unfair to customers. Such charges should be informed in advance and taken only with proper consent. UBL must improve its transparency and customer service. Deducting money without notice is not acceptable. Kindly look into this matter seriously.",UBL Digital
Very nice app for money send and receive on this Digital App,UBL Digital
Vvv Good 👍 Work,UBL Digital
it's best app for transaction,UBL Digital
Thank glad full,UBL Digital
fast and easier app thanx ubl,UBL Digital
one of my favorite ubl,UBL Digital
pathetic service . education icon is not working,UBL Digital
mera pichly 10years se account h sb kuch every thing or powerful h lakin Loan ki option nai h baki banks my Loan options h kindly I will request Loan option is my Add Kary,UBL Digital
good experience with UBL Digital,UBL Digital
Crashing on paying school fee. Please fix the bug. Otherwise a great app.,UBL Digital
i love you ❤️ ubl,UBL Digital
very easy and best app for new user.,UBL Digital
"Salam ! ""Everything is functioning well; however, the option to pay Jazz and Zong postpaid bills is not appearing. Could you please assist me with this?""",UBL Digital
easy to use brilliant banking app,UBL Digital
Alhamdullilah I have a very fine and relaxing experience,UBL Digital
overall good experience,UBL Digital
UBL is best for smart and secure banking.,UBL Digital
nice app and fast working,UBL Digital
lots of features are missing like bundles packages co operates payments and so many more only basic features have in UbL Against HBL mobile App Was Perfectly Functional With All Features UBL need to Improve,UBL Digital
I have very good experience with this app,UBL Digital
easy access. safe and secure transactions done on time.,UBL Digital
I love it💖.,UBL Digital
assalamualaikum mene 4weeks pehle account banaya tha or mene debit cards order nahin kiya tha or mere account se cards ki fees cut ho gai 3000/pkr plus or wo bhi meri mere account ko access kar ke without meri permission ke ye illegal han mujhe mere payment wapis chahiye jo bagar kisi waja cut ki gai han please,UBL Digital
very good bank,UBL Digital
Amazing UBL in your pocket just open the mobile and get everything you want 🙂🙂,UBL Digital
"excellent app, the only decent banking app in Pakistan",UBL Digital
very nice service ubl,UBL Digital
"the UBL everything is very good MashaAllah, I'm proud of UBL and UBL team",UBL Digital
they hold my payment from 2 yeas always make new story and 0349 bank branch staff Third class staff they hairring lie lie lie every time all I give proof in bank they not do any this just sit and lie lie every time if you want growth your bank kindly throw out this kind of staff from your 0349 branch they treat like we are Beggar third class staff I told in bank I'm not in Pakistan I'm overseas I give all proof I call head office always make new and new drama what kind of this bank I don't know,UBL Digital
"its been a year and they're not fixing my log in issue, I have write them multiple email and sent screenshot of app shows error but they have worst customer support",UBL Digital
Now it is working properly.,UBL Digital
good 👍 job,UBL Digital
"It’s been 9 months since I submitted a reversal request of PKR 150,000 from UBL to ABL. Both parties submitted written consent but funds are still locked. Kindly resolve or escalate. I had give 5 star before 3 years but now my mind is changed due this annoying issue because I wait 7 months but still no response 😞😞",UBL Digital
"Hi, I want to open UBL smart account. I have tried 4 times and did my biometric with fingers and thumb. But every time, when biometric proceesed, it is just loading and then it shows time-out on the screen. I request to please resolve this!!!",UBL Digital
please add thumb in biometric please please,UBL Digital
one of the worst bank of Pakistan. Totally unsupportive. TO EVERY ONE DO NOT SEND REMITTANCE THROUGH THIS BANK SPECIALLY DURINFG MUHARRAM OR EID. THEY WILL NOT CREDIT YOUR ACCOUNT ON TIME AND WILL DELAY IT FOR WEEK WITHOUT ANY VALID REASON. CLOSING MY ACCOUNT HAVE HAD ENOUGH WITH THEM. THRLE WHOLE COUNTRY IS HIJACKED BY THEIVES CORRUPT SYSTEM. DAMN THEM.,UBL Digital
Which account does not have annual ATM charges or any other tax deducted?,UBL Digital
Awesome bank account,UBL Digital
Hands down best Banking app in Pakistan 👌🏻,UBL Digital
Great bank great service,UBL Digital
"The scan CNIC/NICOP to update the contact phone number feature is broken for NICOP holders. The app scans the front of NICOP just fine, but the backside scan is looking for an URDU CNIC, not English NICOPs. IF you are overseas, they will not help you. OTP is king, and you will be stuck.",UBL Digital
Facing issue while paying online,UBL Digital
working well with cool features.,UBL Digital
Because this app is not working in patch mobiles,UBL Digital
MashaAllaha very nice,UBL Digital
"Brother, what kind of update have you put in the bank that the entire name is not showing? Please give the same update as before.",UBL Digital
Good in working,UBL Digital
"recently update app but it has bug plz fix this issue when details of account is selected, app is disappear totally.",UBL Digital
"excellent app , but need to improve more.",UBL Digital
"overall good but one thing disappointed me. Why do you have some wallet transfer limits restricted? while Jazzcash & Easypaisa reached their daily transaction limit upto 1 Millon. i am using HBL, Alfalah and NBP also but they don't have restricted any debit transaction limit. All banks are allowed IBFT And Raast Also with no Wallet transfer limit restrict. its request to review this matter and take it seriously. make customers happy to feel free banking experience. 🙏🙏",UBL Digital
third class Bank,UBL Digital
nice 👍 working,UBL Digital
good but i think you need to add some other options like easyways for less educated peoples,UBL Digital
my application is not working some options,UBL Digital
One of the best looking and functioning banking app in Pakistan. Edit: UBL Pay is working now,UBL Digital
"United Bank Limited (UBL) has established itself as one of Pakistan’s most trusted and innovative financial institutions, renowned for its customer-centric approach and commitment to excellence. With a rich legacy spanning decades, UBL consistently delivers a wide range of banking services that combine modern technology with personalized care, making banking convenient, secure, and accessible for millions of individuals and businesses.",UBL Digital
it is very nice app now ha day,UBL Digital
easy Money transfer app,UBL Digital
very nice app easy format I like it 10 out of 10 Pakistan zindabad,UBL Digital
Excellent App More Feature Add App Suggest. And App Fix Bugs Hang & More. Thanks,UBL Digital
very nice 👍,UBL Digital
"Nice App, Easy to Operate. Great features",UBL Digital
dear admin i have changed my cell phone but same issue occurs. no transaction. app showing loading all the time.,UBL Digital
very good app for transections,UBL Digital
simple and easy to use app,UBL Digital
"I can't find an option for payment to UET lahore fee in new version even in the old version it was not simple to find the option, and now 🤷🏻 i think you are trying ways to make it more difficult. why don't you add UET To ""education"" option.",UBL Digital
"amazing, smooth and fantastic experience with UBL",UBL Digital
best and easy app for use.highly recommended,UBL Digital
"The app processing or speed is very slow, it should be fast, also it need more things to change, like if I need bank documents I download it on click, renew ATM and activity it online.",UBL Digital
"it has been for the last one month that the app has not been showing ""the list of accounts."" I have lodged two complaints but no solution so far. It's a shame that a large bank like UBL is unable to resolve the complaints of its customers. The only choice I now have is to lodge a complaint with the State Bank of Pakistan.",UBL Digital
"Nice and smoothly working system,, thanks.",UBL Digital
account ma masla a raha he kya wajah he ma ne credit card ka bill jama karwana he,UBL Digital
"After the app was updated to 3.38.1 version, it crashes every time I try to navigate to 'My Accounts' I am using the app on my infinix zero 8i phone with android version 10. Please fix this.",UBL Digital
easy use fully digital app,UBL Digital
very easily app and good app,UBL Digital
Best app I have ever seen I'm connected with several bank apps but the UBL app is the most easily available and amazing thumbs up 👍,UBL Digital
"after installing the new update, the app keeps on crashing after logging in... it has been going on for days and i cant access my account on device anymore. before this it used to work just fine, no glitches or anything",UBL Digital
"user-friendly interface and easy to navigate through the application,",UBL Digital
very good app for banking,UBL Digital
Please create option in App for the fund and other transection limit.,UBL Digital
i love UBL bank services,UBL Digital
"nice app, problems sometimes to open",UBL Digital
Dunya ki sb sa ziyda bukwas App ha ya,UBL Digital
Best Mobile app💯,UBL Digital
good job and good luck,UBL Digital
this is good app,UBL Digital
Good Bank and great app,UBL Digital
The UBL Digital Mobile app's online payment transfer system is very powerful.,UBL Digital
my on bank app on this phone is crashing on a bank application,UBL Digital
UBL app is good for saving My time in present life,UBL Digital
best app best features iam satisfied,UBL Digital
"I can't see account statement correctly I'm facing issues with this version, The previous version was very excellent everything was perfect.",UBL Digital
"UBL provided us one of the best digital apps, easy to use and good in appearance. I really like it.",UBL Digital
"Hi, I’m facing an issue in the transfer details — the current transaction history is not being displayed. Please look into this and fix it as soon as possible. Thank you!",UBL Digital
gooood easy digital app,UBL Digital
"the app is good , if we can add 1 more thing which is, have an option to hide/ show balance at the screen where we are adding money, in the payment sending screen",UBL Digital
السلام علیکم ... It's working fine now...,UBL Digital
I am using multiple bank aps but I found ubl ap the best as compare to other bank apps,UBL Digital
Good app so far.....,UBL Digital
wonderful app ...😎😍,UBL Digital
since 3 days I'm trying to upload selfi but how rubbish this app that it's not approving and how poor management. we have to open camera and stay still just starring at camera and without any obstacle it's showing remove glasses masks etc even didn't wear any thing selfi means to take own pictures by ourself but ubl has changed the meaning of selfi according to ubl selfi means open the camera and start staring at it. and sending them email isn't beneficial as they Don't care Don't respond.,UBL Digital
ubl is the one of my favorites and easy operation aap. everyone can use easily,UBL Digital
very nice app,UBL Digital
