,app,content,score,at
43,Al Habib,Extremely disappointed. I think the bank should pay special attention to digital banking app as it is a necessity for people these days.,1,2025-07-04 15:40:59
44,Al Habib,extremely slow its pro PTCL version banking app...,1,2025-07-04 01:41:34
45,Al Habib,excellent service,5,2025-07-04 00:38:50
46,Al Habib,"aftet new update, whenever I m trying to open app it shows error",1,2025-07-03 21:38:22
47,Al Habib,Pathetic Banking App. I must say that bank also get pathetic mobile app bank.,1,2025-07-03 21:00:22
48,Al Habib,good app,5,2025-07-03 19:08:28
49,Al Habib,"even they don't deserve 1 start .. worst bank award goes to Al Habib. hamry area Mai female staff hi nh hai ..gents ki gents hoty k apna problem solve karny Mai time lg jta ,.. aj Tak Inka card nh chalaa in k atm Mai hamesha Mai meezan bank ja k paisy cash karvati .... I swear to God mri sb sy bari ghlti ink bank Mai account opened karwana tha..",1,2025-07-03 16:00:06
50,Al Habib,Good bank,5,2025-07-03 13:57:03
51,Al Habib,very bad experience of this app,1,2025-07-03 12:41:34
52,Al Habib,worst app and bank i have ever used.,1,2025-07-03 12:13:53
53,Al Habib,pathetic experience. just opened the app and it stops providing option for biometric login. How it happens? Anyone here who is responsible for this loss??,1,2025-07-03 01:04:54
54,Al Habib,Worst... No customer service.,1,2025-07-02 21:54:41
55,Al Habib,nice app,5,2025-07-02 21:27:10
56,Al Habib,sir kia waja h app work q ni krti kafi bar registration ki but failed why? already registered show h phr b open ni?,1,2025-07-02 18:41:09
57,Al Habib,"I'm very disappointed by using your mob bank app for couples for days as my app isn't working. when I tried to open it ,its shows ""ssl pinning failed"" what's wrong is that. kindly resolve the issue asap",1,2025-07-02 14:14:10
58,Al Habib,app not working fine,1,2025-07-02 13:07:48
59,Al Habib,I put correct Gmail which I use making bank account but it says its an error why,1,2025-07-02 12:42:30
60,Al Habib,very bad experience I am using HBL from last 10year I did not face any issue. recently I open account in Bank AL Habib Every second day or on same day my account become looked in this week I call them almost 5time for activation. soon I will close my account.. not recommend the net banking to anyone,1,2025-07-02 07:30:42
61,Al Habib,nice app for Android users,5,2025-07-02 00:16:18
62,Al Habib,fast service..bank all Habib,5,2025-07-02 00:05:03
63,Al Habib,good,5,2025-07-01 21:53:07
64,Al Habib,Error 404 haha wth. Still sucks in 2025. Haha can't even log in with new update,1,2025-07-01 17:31:37
65,Al Habib,very disappointed this mobile app when we need to use this app that time it's not working network problem user id or password problem i put the details which is correct but again same problems using this app very long time but this issue is not resolved very bad experience,1,2025-07-01 15:09:38
66,Al Habib,after so many attempts I am still not able to update my password...I really need to us this app but I am stuck with the password,2,2025-07-01 14:47:10
67,Al Habib,"v bad experience.i am very disappointed.even I have go to the Branch 5,6 times for help they asked now go home and start but I always failed. now I want to change the for reason.i can't afford to go bank daily or repeatly.",1,2025-07-01 14:43:34
68,Al Habib,"I wish I could give it a zero it just has random issues all the time and most of time, just doesn't work. Right now I am tried to login with my user name and password and it prompted wrong username or password so tried to login using my laptop and it said i need to have a 2 hour cool down timer after which I could login that's insane! but after half an hour i tried to login again using same laptop it just reset timer to next 2 hours so there seems no way I login into my account .",1,2025-07-01 13:34:36
69,Al Habib,i have been trying since yesterday to login to my account via mobile app and couldn't do so. The app is too slow and always glitches. please resolve the issue all my transactions are pending I have to transfer money to many people.,2,2025-07-01 13:26:57
70,Al Habib,very bad app.,1,2025-07-01 13:05:54
71,Al Habib,why all of a sudden I cannot login using touch/ biometric. There is literally no option for this available.,1,2025-07-01 11:39:19
72,Al Habib,"Assalamualaikum I'm facing an issue in Al Habib mobile app , as I forgot the password of my account, when I tried to reset it then due the the app's technical issues it didn't fix. Now when I try again I get a message that your account has been locked. I'm really frustrated with the issue I hope it will get resolved as soon as possiblr",1,2025-07-01 10:12:47
73,Al Habib,Kiya ghatia app hy install he nhai hoti jahalat lagain hue,1,2025-07-01 06:41:03
74,Al Habib,So irretating bad 👎 experience fazooool tareeeeen app,1,2025-06-30 22:42:21
75,Al Habib,nice 👍🏻,3,2025-06-30 11:18:31
76,Al Habib,please add electricity bill fresco company all other company add but fresco is not show,3,2025-06-30 08:24:10
77,Al Habib,"One of the worst applications. if your finger doesn't match by mistake while login, then it will lock your account forever.",1,2025-06-30 04:56:57
78,Al Habib,This app is good but you should introduce mobile easyload in this app.,5,2025-06-29 21:25:23
79,Al Habib,very good service,5,2025-06-29 19:59:28
80,Al Habib,Takes too much time when loading and on entering valid credentials it keeps giving Error popup with no proper message.,3,2025-06-29 16:46:10
81,Al Habib,gud,5,2025-06-29 14:47:38
82,Al Habib,3rd class service,2,2025-06-28 21:15:26
83,Al Habib,such a basic app. there's not even an option to figure out what type of discounts the card provides,2,2025-06-28 20:55:15
84,Al Habib,worst app😐🫩,1,2025-06-28 19:20:09
85,Al Habib,always a problem while doing online,1,2025-06-28 14:07:04
86,Al Habib,bht hi fazool app hai login hi nhi hta shi pasword enter kro tb b invalid user name or pasword likha ata hai,1,2025-06-28 13:28:32
87,Al Habib,pesco bill error why? 👎,1,2025-06-28 00:01:09
88,Al Habib,3rd class application & system. annual charges of this bank are more than HBL & meezan bank.,1,2025-06-27 21:49:16
89,Al Habib,good 👍👍👍😊😊😊,5,2025-06-27 20:15:06
90,Al Habib,"Sir,al Habib Bank application is not working anymore, there is an error, what could be the problem, please guide me",5,2025-06-27 18:54:39
91,Al Habib,so poor !!! app not working properly not showing account balance and showing error and cannot transfer money again showing error just terrible app!!! worst banking app;!!!,1,2025-06-27 17:32:41
92,Al Habib,very nice application,5,2025-06-27 16:24:32
93,Al Habib,Why app is not working in vivo phone please solve this i am trying from 5 days,1,2025-06-27 13:24:18
94,Al Habib,my app not opening facing error I updated still facing problems,1,2025-06-27 12:47:06
95,Al Habib,"often stuck in the login screen, too many glitches",1,2025-06-27 10:36:39
96,Al Habib,worst app ever .. takes 5 minutes just to login and each step is slower than before keeps giving error without reason,1,2025-06-27 00:44:32
97,Al Habib,good pa rformce,5,2025-06-26 19:57:21
98,Al Habib,stestem not working,1,2025-06-26 19:01:47
99,Al Habib,I am facing problem login app bank al habib.,1,2025-06-26 10:34:12
100,Al Habib,excellent app,5,2025-06-25 23:26:15
101,Al Habib,not able to login with the new mobile as nothing happened when I clicked on the perform biometric button ..,1,2025-06-25 18:40:53
102,Al Habib,Love this Application,5,2025-06-25 15:50:34
103,Al Habib,What's wrong with the app since a day When i try to login the app it shows a pop up message and crashes I'm facing this problem and unable to do or receive transaction Plz solve this glitch of app. I have reinstalled apps many times but it is also not working,1,2025-06-24 18:44:31
104,Al Habib,good app,5,2025-06-24 15:10:16
105,Al Habib,"cleared cache, reinstalled and after few hours , application was working. Thanks",4,2025-06-24 12:34:10
106,Al Habib,"When I open the app, it prompts me to update. I click on the ""Update"" button, which takes me to the Google Play Store, but there is no update available—only the ""Uninstall"" and ""Open"" options are shown. When I click ""Open"" from the Play Store, the app launches again but shows the same update prompt. Unfortunately, there's no option to dismiss or skip the update popup, so I’m stuck in a loop and unable to use the app at all. -- Thanks to Bank Al Habib — the issue was resolved the very next day.",1,2025-06-24 11:55:21
107,Al Habib,good app,5,2025-06-23 18:54:37
108,Al Habib,"I'm extremely disappointed with the service at Bank Al Habib. Despite lodging two complaints, my issue remains unresolved. Unfortunately, and I'm still waiting for a response.",1,2025-06-23 15:42:50
109,Al Habib,nice,5,2025-06-23 13:58:43
110,Al Habib,Asalamo Alikam. kindly electricity bill mai fesco bill ka bi option ker dain. thanks,5,2025-06-23 13:37:51
111,Al Habib,Al Habib App so good,5,2025-06-23 13:22:55
112,Al Habib,This third-class app always has account lock issues. It's extremely irritating and frustrating to use.,1,2025-06-23 13:01:16
113,Al Habib,very poor services. every process ask for pin. and you don't get otp for long time just to login the app. very very bad services.,1,2025-06-23 00:05:23
114,Al Habib,bad service. OTP to lait received,1,2025-06-22 22:48:31
115,Al Habib,Alhamdulillah nothing doesn't get work when needed most. having transaction issues 7 out of 10 times. you guys just built it thinking it's 2001,1,2025-06-22 02:18:41
116,Al Habib,ok,5,2025-06-21 21:54:53
117,Al Habib,"Bad bad experience.. outdated application slow and poor, helpline staff and banking staff are not cooperative..",1,2025-06-21 13:27:50
118,Al Habib,Pathetic experience. Tried to login again and again for almost a week but of no use. Pathetic!,1,2025-06-20 16:11:51
119,Al Habib,very cheap app found thousand of problems in it first I found rechaptha problem and then email address I put say it is not in record what nonsense is 😡 I register my account first time so how they record or any else,1,2025-06-20 15:54:46
120,Al Habib,This app is not installing in my Android phone. Why. solve this issue plzz,5,2025-06-20 07:37:09
121,Al Habib,Aby kis ne develop ki h ye app itna bara name h or Sali app Dekho bakwas me apny foreign acc we money transfer nahi KR parha hu other bank me ajeeb bakwas kachra application uper SE koi in comments p deyhan nahi deta,1,2025-06-20 00:34:05
122,Al Habib,this app not open,1,2025-06-19 19:31:00
123,Al Habib,good,1,2025-06-19 18:37:30
124,Al Habib,Beautiful,5,2025-06-19 12:26:09
125,Al Habib,bhhht zyada bkwas Appliction hai banking mai bilkul bhi theek sy kam nhi krti 2 ghnty loading mai lg jaty Literally very Disappointed!,3,2025-06-19 10:20:55
126,Al Habib,a new version update ni ho Ra he q,5,2025-06-19 10:14:33
127,Al Habib,"not good experience while operatinalizing the app for the first time. quite lengthy process with hurdles. now, as I open the app, there is mentioned update it. when I go to Google, it does not work, and take me to the app without update.",2,2025-06-19 10:10:17
128,Al Habib,app is usually work very slowl,3,2025-06-19 10:09:28
129,Al Habib,"notifying that update new version but there is no new version available at store. unable to use the app. pls resolve this issue, I have to do some important transactions",2,2025-06-19 10:09:12
130,Al Habib,"This is worst aap ,kis tra ki dunia mai hain ye jahel log inko app bhi bnani nahi aati ,too much time wasting and irritating ,they should learn first.",5,2025-06-19 10:09:09
131,Al Habib,"helpful , good",5,2025-06-19 10:08:38
132,Al Habib,good,5,2025-06-19 10:08:16
133,Al Habib,unable to log in..continuously showing updates available but on the playstore there is no such thing,1,2025-06-19 10:07:56
134,Al Habib,the app is not updating even after installing it from Google play store. it again gives the message of updating app again. what's the solution?,3,2025-06-19 10:07:53
135,Al Habib,app open nae ho rahi update ka Option hi nae aa raha ap open karo tu update ka Option ata ha usko click karo tu play store on hota ha Waha ata hi nae update ka Option delete kar k dobara install b ki ha app phr b same masla aa raha ha,5,2025-06-19 10:07:30
136,Al Habib,"A friend of mine told me to not open account in bank al habib because of its prehistoric app, but I didn't pay heed to him and now I'm facing the consequences. Such an awful app",1,2025-06-19 10:06:47
137,Al Habib,"Totally dissatisfied with this App. It shows to upgrade with an updated version, after doing so it is showing again the same. Tried to login and used in 2024, at that time faced the same troubleshooting errors.",1,2025-06-19 10:05:53
138,Al Habib,best app,5,2025-06-19 10:05:51
139,Al Habib,worst experience of Al habib mobile app..Always disappoint when we use this app.,1,2025-06-19 10:05:11
140,Al Habib,ghatia app hai kindly close this bank,5,2025-06-19 10:04:50
141,Al Habib,good,5,2025-06-19 10:04:40
142,Al Habib,where is latest app why you don't share the link,5,2025-06-19 10:04:39
143,Al Habib,"Its regreted to say that,the application is demanding update by google play store but not updating...I tried my best to restart phone,reboot,but still not working kindly look into it",2,2025-06-19 10:04:22
144,Al Habib,good,5,2025-06-19 10:04:05
145,Al Habib,it is showing that a new update is available and then it s not showing any update available very poor app kindly manage it better other banking apps like HBL are far better,1,2025-06-19 10:03:56
146,Al Habib,superb service,5,2025-06-19 10:03:50
147,Al Habib,good,5,2025-06-19 10:03:17
148,Al Habib,where is update version apps?,1,2025-06-19 10:03:13
149,Al Habib,it is best and user friendly,5,2025-06-19 10:03:09
150,Al Habib,"my app asks me to update but once I go to playstore there is no option to update. the only options are uninstall or open. when you select open again you go to the app, which again asks you to update. So the cycle continues, just a waste of time.",1,2025-06-19 10:03:07
151,Al Habib,customer excellent caring and cooperative,5,2025-06-19 10:03:06
152,Al Habib,application isn't updating as the app shows a notification to update but when it directs to Google play it shows no update.,1,2025-06-19 10:02:53
153,Al Habib,Very poor User Experience.,2,2025-06-19 10:02:38
154,Al Habib,ok 👌,5,2025-06-19 10:02:17
155,Al Habib,Great,5,2025-06-19 10:02:02
156,Al Habib,good,5,2025-06-19 10:01:25
157,Al Habib,ok,5,2025-06-19 10:01:19
158,Al Habib,ghatiya services,1,2025-06-19 10:01:07
159,Al Habib,Yet to be used. it can only be evaluated once the app has been in use for a reasonably longer period of time.,3,2025-06-19 10:01:03
160,Al Habib,nice,5,2025-06-19 10:00:53
161,Al Habib,good,5,2025-06-19 10:00:49
162,Al Habib,very nice 👍,5,2025-06-19 10:00:46
163,Al Habib,update nhe ho Rahe aaj,1,2025-06-19 10:00:32
164,Al Habib,good 👍,5,2025-06-19 10:00:13
165,Al Habib,not updating new version plz resolve urgent basis,1,2025-06-19 09:59:34
166,Al Habib,ATM problems,5,2025-06-19 09:59:24
167,Al Habib,need improvement,5,2025-06-19 09:59:18
168,Al Habib,good app,5,2025-06-19 09:59:06
169,Al Habib,best,5,2025-06-19 09:58:58
170,Al Habib,Good,5,2025-06-19 09:58:39
171,Al Habib,what the hell. there is no update available on playstore but app is not working and want to get updated. in the time of need this hell is not working,1,2025-06-19 09:58:12
172,Al Habib,good,5,2025-06-19 09:58:05
173,Al Habib,Always comes message that update app. however app is already updated. but again message comes when app is being opened? pl rectify the error,1,2025-06-19 09:56:49
174,Al Habib,This is very good aap,1,2025-06-19 09:56:19
175,Al Habib,best,5,2025-06-19 09:56:16
176,Al Habib,"Poor app, yani every time iss ko update hi krty rho koi or kaam nhi,",4,2025-06-19 09:55:56
177,Al Habib,"Application Is Asking For Update, But Application Is Already Updated.",1,2025-06-19 09:55:54
178,Al Habib,excellent,5,2025-06-19 09:55:35
179,Al Habib,great service,5,2025-06-19 09:55:33
180,Al Habib,very bad experience,1,2025-06-19 09:55:31
181,Al Habib,kya Fazool Bakwas Hai Year App Update B Kar Li phir B chalti ni,1,2025-06-19 09:55:18
182,Al Habib,v good exilnt,5,2025-06-19 09:55:14
183,Al Habib,amazing,5,2025-06-19 09:55:14
184,Al Habib,working too good,5,2025-06-19 09:55:04
185,Al Habib,Good App but it should be more users friendly,4,2025-06-19 09:55:00
186,Al Habib,Best Aap,5,2025-06-19 09:54:54
187,Al Habib,very disappointed... all time it requires update with no improvement,1,2025-06-19 09:54:44
188,Al Habib,best banking app,5,2025-06-19 09:54:32
189,Al Habib,ok,5,2025-06-19 09:53:38
190,Al Habib,not Satisfied,1,2025-06-19 09:53:32
191,Al Habib,good,5,2025-06-19 09:53:26
192,Al Habib,"facing problem, when I am going to login the Al Habib app there is popup msg please go through with new version of Al Habib go on Google play store and update, and than as I go there there isn't any update. what to do.",5,2025-06-19 09:53:24
193,Al Habib,ok,5,2025-06-19 09:53:23
194,Al Habib,"Such a pathetic app, it seems like Bank Al Habib digital team is still living in 1950's.. Very disappointing, negative marking option should be available for this..",1,2025-06-19 09:53:22
195,Al Habib,there is no update launch and it keeps giving the pop up of the update it's really disappointing and I am really nerve racking I want fo transaction but it's in my and not letting me do 😞,1,2025-06-19 09:53:21
196,Al Habib,always great,5,2025-06-19 09:52:55
197,Al Habib,Asking for an update but nothing to update when you click. So the app is not working.,2,2025-06-19 09:52:54
198,Al Habib,"need to upgrade this app,very slow and difficult",1,2025-06-19 09:52:32
199,Al Habib,amzing,5,2025-06-19 09:52:24
200,Al Habib,good service,5,2025-06-19 09:52:02
201,Al Habib,good,5,2025-06-19 09:51:32
202,Al Habib,a bit more complicated and very slow,4,2025-06-19 09:51:28
203,Al Habib,ok,5,2025-06-19 09:51:20
204,Al Habib,very useful app,5,2025-06-19 09:51:08
205,Al Habib,Good,5,2025-06-19 09:51:01
206,Al Habib,"nonsense app, extremely frustrating",1,2025-06-19 09:50:45
207,Al Habib,alhamdullilah good experience,5,2025-06-19 09:50:31
208,Al Habib,"it's very smart app and best way to save time. sometimes one problem to face, that is OTP comes to late...",4,2025-06-19 09:50:23
209,Al Habib,v nice app,5,2025-06-19 09:49:20
210,Al Habib,good,5,2025-06-19 09:49:16
211,Al Habib,services are not good here,2,2025-06-19 09:49:08
212,Al Habib,ok,5,2025-06-19 09:49:07
213,Al Habib,My App is not working. Only an update popup is appearing while the app is already updated.,1,2025-06-19 09:49:02
214,Al Habib,good,5,2025-06-19 09:48:53
215,Al Habib,this app not working,1,2025-06-19 09:48:51
216,Al Habib,nice,5,2025-06-19 09:48:15
217,Al Habib,great experience very simple and easy application,5,2025-06-19 09:48:07
218,Al Habib,no problem,5,2025-06-19 09:47:40
219,Al Habib,"Keeps on asking for update, when you click on update nothing happens! Very frustrating",1,2025-06-19 09:46:42
220,Al Habib,Best of three habib banks of pakistan,4,2025-06-19 09:45:54
221,Al Habib,Gud,5,2025-06-19 09:45:48
222,Al Habib,it's good bank service is best,2,2025-06-19 09:45:11
223,Al Habib,not sure,5,2025-06-19 09:44:17
224,Al Habib,good digital banking,5,2025-06-19 09:44:15
225,Al Habib,good,5,2025-06-19 09:43:54
226,Al Habib,good,5,2025-06-19 09:42:10
227,Al Habib,worst app ever every time login failed,1,2025-06-19 04:02:56
228,Al Habib,good job 👍🏻,5,2025-06-18 22:11:51
229,Al Habib,"I’m very disappointed with the current state of your mobile app. It’s extremely slow, often unresponsive, and sometimes crashes altogether. Additionally, it lacks many features that are standard in other banking apps. The overall user experience is frustrating, and I hope this feedback helps drive improvements soon. Thank you.",1,2025-06-18 22:08:46
230,Al Habib,pathetic services,1,2025-06-18 20:58:56
231,Al Habib,pathetic not working,1,2025-06-18 20:29:05
232,Al Habib,great 👍,5,2025-06-18 12:20:47
233,Al Habib,Good,5,2025-06-18 01:37:14
234,Al Habib,"the worst app ever!!! I opened account with BAHL, and have been waiting since evening to make the account on app. for every minor change, password resets, the account doesn't work for two hours!!! does this even makes a sense???!?",1,2025-06-17 21:29:47
235,Al Habib,I am using UBL Meezan and Soneri Bank working fantastic. I never seen this much stupid app in my life.Bank should replaced the staff immediately who are responsible for this app. if it is outsource then they have to look experience people.,1,2025-06-17 20:43:07
236,Al Habib,bank al habib deserve 0 rating don't creat account in this. bank al habib are not deserved 1 star total waste of money waste of time,1,2025-06-17 14:21:24
237,Al Habib,I'm downloading the app cause I have bank alhabib account but now when I saw the review against this apo so I'm in yes or no situation for me but first I'm downloading it then what happened I will email responsible,1,2025-06-17 09:20:00
238,Al Habib,"worst banking app ever in Pakistan. Their system is down and after contacting customer feedback, still no solution provided. It's been 7 days I have been locked out of my own account.",1,2025-06-17 08:26:00
239,Al Habib,better,3,2025-06-17 07:58:02
240,Al Habib,one off the best ap in Pakistan,5,2025-06-16 20:22:38
241,Al Habib,"Need much more improvements for resetting user password, OTP issues & lags also major issues in this app.",2,2025-06-16 20:17:43
242,Al Habib,poor app I have open the App many times but still not working unable to connect with server,1,2025-06-16 13:27:23
243,Al Habib,"furastrated app ,too slow it's need to be updated",1,2025-06-14 23:41:49
244,Al Habib,very poor app and services. totally waste of time,1,2025-06-14 23:20:53
245,Al Habib,"It rarely works after the recent update, what you were trying to do that you ended messing everything up",4,2025-06-14 21:49:59
246,Al Habib,pathetic,3,2025-06-14 12:47:46
247,Al Habib,Al Habib bank network is very low now iam tired too much this app take too much time to login and result show error unable network etc,1,2025-06-14 08:10:56
248,Al Habib,it's tooo slow to work,1,2025-06-14 01:06:41
249,Al Habib,یار پلیز یہ ایپ بہت بیکار ہے اسے اپڈیٹ کردے سارا نظام اس کا کچھ سمجھ نہیں اتا اور کام بھی ٹیک سے کرتا پلیز,1,2025-06-14 00:34:24
250,Al Habib,so good,5,2025-06-13 20:33:49
251,Al Habib,worst banking network I ever experienced,1,2025-06-13 19:18:33
252,Al Habib,"I’m seriously disappointed with how outdated and frustrating this app is. It crashes, lags, takes forever to load simple things like balance or transactions, and the user interface feels like it’s from 10 years ago. Even basic services like OTP or biometric login often don’t work properly. What’s worse is the feeling that Bank AL Habib doesn’t care. There are hundreds of bad reviews here and nothing seems to improve. While other banks like Meezan, UBL, and Easypaisa are moving forward with clea",1,2025-06-13 18:36:43
253,Al Habib,app not working,4,2025-06-13 18:32:38
254,Al Habib,This application does not work on some networks. It works properly after changing the network.,3,2025-06-13 16:07:08
255,Al Habib,i don't no why Bank al Habib improve our Bank app one of worst banking app ever in Pakistan....,1,2025-06-13 15:26:41
256,Al Habib,good 👍,5,2025-06-13 00:26:57
257,Al Habib,It has many technical issues I registered a username and password but when I entered username and password for app opening it shows invalid username and password after resetting password same issue again . Literally fazool app,1,2025-06-12 15:52:08
258,Al Habib,very bad experience,1,2025-06-12 00:14:32
259,Al Habib,very disappointing app or bank 🤡🖐️👎,1,2025-06-11 21:39:04
260,Al Habib,App experience is very frustrating 😕,1,2025-06-11 17:11:53
261,Al Habib,I am not reviewing because it's tto bad app in the world I think it's worst bank of the world very very much slow response app not working bank service is too bad plz don't open your account in bank Al HABIB worst bank 🖐️🖐️,1,2025-06-11 12:41:30
262,Al Habib,"wrost banking app, i am extremly disappointed with this banking app. whenever I tried to use this app, I find this error ""unable to connect the server"".",1,2025-06-11 11:42:07
263,Al Habib,nice,5,2025-06-11 08:34:21
264,Al Habib,very helpful app,5,2025-06-10 20:51:42
265,Al Habib,bar bar update ka option,1,2025-06-10 18:47:30
266,Al Habib,good,5,2025-06-10 14:25:37
267,Al Habib,app.require rectification some where as complicated installation,3,2025-06-10 13:43:05
268,Al Habib,more then 2 weeks just trying to operate the ap,1,2025-06-10 13:15:03
269,Al Habib,"We were required by our institute to open accounts, but the experience has been poor. The Chunian (0348) branch ATM is often out of service, and staff behavior is unprofessional. Due to frequent server issues, we rely on other bank ATMs like Faisal Bank. Now with the govt's AK-47 tax on ATM use, we face extra charges for your poor services. Serious improvement is needed.",1,2025-06-10 13:11:24
270,Al Habib,need more work,3,2025-06-10 07:00:25
271,Al Habib,nice one,5,2025-06-10 00:21:23
272,Al Habib,very good,5,2025-06-09 17:49:09
273,Al Habib,unable to do biometric verification,1,2025-06-09 15:27:54
274,Al Habib,good,5,2025-06-09 14:04:21
275,Al Habib,Pathetic slow app. Never works when you need it. always gets blocked,1,2025-06-09 07:22:42
276,Al Habib,otp jldi nhi ata 5 din sy try kr rahi ho,1,2025-06-09 03:01:13
277,Al Habib,service is not working properly,2,2025-06-08 21:19:27
278,Al Habib,both he bekar application ha..,1,2025-06-08 15:41:08
279,Al Habib,Login issues bad experience😡,1,2025-06-08 10:01:55
280,Al Habib,use less app,1,2025-06-07 23:17:22
281,Al Habib,super,5,2025-06-07 18:41:47
282,Al Habib,My experience with bank alhabib is great. im using this app since 2022,5,2025-06-07 13:51:56
283,Al Habib,"what the hell is this ... every 6 month after need biometric . i am unable to open app .got ""biometric "",kindly stop foolish act .don't like, very disgusting app status .hat it .... you're not deserve any single star. i need e statement i 30 time send email please give me . they are not responding and says visit branch . why you send me foolish email ? which i dont need",1,2025-06-07 04:20:10
284,Al Habib,good,5,2025-06-06 19:58:56
285,Al Habib,"The newest update requires biometric logging which does not work. The app keeps switching back to the ""perform biometric"" screen and does not proceed. device redmi13",1,2025-06-06 17:14:06
