content,app,aspects,opinions,sentiments,categories,mapped_categories
بہت ہی زبردست ایپ ہے استعمال کرنے کا یہ فائدہ ہے گھر رہتے ہوئے اپ کی ساری ٹرانزیکشنز اور اپ کے سارے معاملات کلیئر ہو جاتے ہیں,UBL Digital,['NULL'],['NULL'],['negative'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
unable to send money. screen keeps reloading on review payment,UBL Digital,['screen'],['NULL'],['negative'],['DISPLAY#OPERATION_PERFORMANCE'],['SCREEN#ISSUES']
Excellent Experience 👍,UBL Digital,['Experience'],['Excellent'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
it's so nice ☺️,UBL Digital,['NULL'],['nice'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
this is a very good app,UBL Digital,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
"It’s disappointing that UBL hasn’t introduced balance inquiry through WhatsApp, while most other banks already offer this convenient service. In today’s digital age, customers expect quick and easy access to basic banking features. Hoping UBL catches up soon.",UBL Digital,"['balance inquiry', 'other banks', 'service']","['disappointing', 'offer this convenient', 'quick and easy']","['negative', 'positive', 'positive']","['SUPPORT#GENERAL', 'SUPPORT#GENERAL', 'SERVICE#GENERAL']","['CUSTOMER_SUPPORT', 'CUSTOMER_SUPPORT', 'BRANCH_SERVICE']"
"improve your security further till now I am not hunted by any fraud,but to make finger obligatory for transaction is too better, also further work on security because we keep millions",UBL Digital,['security'],['improve'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
"The new update changed the comments section which doesn't make any sense. I used to add comments to my transactions so if needed, I would be able to check and know the reason of the transaction but this new update is asking me to add geneirc comments. Don't like it",UBL Digital,['comments section'],"[""don't like""]",['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
this app is very problem creative update not available but customer service centre say update him. but update not available this time i live out of country. app here not working many time i call on helpline but not give me good response.. 😤😤😤😤,UBL Digital,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
This app is excellent and very helpful.,UBL Digital,['app'],['excellent'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
ubl app ma orbits ko add kara jis Tarah bank alfalah aur allied bank kar rha hai,UBL Digital,['NULL'],['NULL'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
I have been trying to access my account for the last 8 hours and it's causing trouble for me .. disappointed by the call center of UBL..,UBL Digital,['call center'],['disappointed'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
great banking app. but I'm facing an issue in transactions for last 3 weeks . And the can't resolve it.,UBL Digital,"['banking app', 'issue in transactions']","['great', 'NULL']","['positive', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#FEATURES', 'APP#PERFORMANCE']"
easy to use... best app and bank Ubl... always fvrt..,UBL Digital,"['app', 'bank Ubl']","['easy to use', 'best']","['positive', 'positive']","['SOFTWARE#USABILITY', 'SUPPORT#GENERAL']","['APP#USABILITY_FEATURES', 'CUSTOMER_SUPPORT']"
Been using this app for 2 years and it's the best app I've used so far.,UBL Digital,['app'],['best'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Gahtiyaa treen service hai kabhi is main payment na rkhna ay roz katety rahy hai is sy acha hai easypaisa main rkh lo ghatiya service ubl phir send krny kley payment ubl send ki to phir ubl nay 500 kaat liya sab sy ghuttiaa hai ubl,UBL Digital,['service ubl phir send krny kley'],['easypaisa'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
"UBL Digital App is a reliable mobile banking tool offering fund transfers, bill payments, and mobile top-ups with ease. Its user-friendly design and secure features like biometric login ensure convenience and safety. Available 24/7, it supports a wide range of services. However, occasional slow performance and limited transaction alerts can be improved. Overall, it’s a handy solution for managing banking needs anytime, anywhere.",UBL Digital,"['UBL Digital App', 'services', 'performance', 'transaction alerts']","['reliable', 'wide range', 'slow', 'limited']","['positive', 'positive', 'negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL', 'SLOW', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#FEATURES', 'APP#FEATURES', 'Miscellaneous', 'APP#PERFORMANCE']"
thais UBL appv good wrk,UBL Digital,['thais UBL appv'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
very good and helpful app any place and anywhere!,UBL Digital,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
one of the best App,UBL Digital,['App'],['best'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
need beta version,UBL Digital,['NULL'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
excellent app united bank sending money is so easy with zero charges and many facilities,UBL Digital,"['app united bank', 'NULL']","['excellent', 'easy']","['positive', 'positive']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES']"
"I really don’t like the new feature in the UBL Digital App that shows your remaining balance as you type the transfer amount in real-time. It instantly deducts the amount while you're entering it. This completely defeats the purpose of hiding your account balance. If you're with someone or in a public place, anyone nearby can easily see your balance changing on-screen. It's a serious privacy concern. Please remove this feature or at least give users the option to disable it.",UBL Digital,['UBL Digital App'],['not like'],['negative'],['SOFTWARE#USABILITY'],['APP#USABILITY_FEATURES']
I opened my Freelancer digital account to receive payments in USD and convert it to PKR later. I asked customer support before account opening if this feature is available or not which they said it is available. but now the team says it's not available on the app.,UBL Digital,"['customer support', 'feature']","['NULL', 'not available']","['negative', 'negative']","['SUPPORT#GENERAL', 'SOFTWARE#GENERAL']","['CUSTOMER_SUPPORT', 'APP#FEATURES']"
good app & good performance I feel very happy so I am user of UBL bank very fast working in every state.,UBL Digital,"['app', 'performance']","['good', 'good']","['positive', 'positive']","['SOFTWARE#GENERAL', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#FEATURES', 'APP#PERFORMANCE']"
best app but incoming and sending amount limits not upgrade,UBL Digital,['app'],['best'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
I'm giving 2 stars because of its animation delays like you guys can configure it out by yourself if any user go to app then application's every animation takes almost .5s to 1s ease time why? its a bad user experience. it's not a goodway to develop animated dynamic application with big delays to show it's attractiveness. I'm also a full-stack developer and user of UBL Banking App and I know very well. I hope you will remove all animation delays asap. Thanks! Note: Just for development team 👆,UBL Digital,['animation delays'],['bad'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
very easy and better digital app I really appreciate.,UBL Digital,['digital app'],['easy'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
I want to delink raast from ubl app but there is option for that,UBL Digital,['raast'],['NULL'],['negative'],['SOFTWARE#USABILITY'],['APP#USABILITY_FEATURES']
So nice 💯,UBL Digital,['NULL'],['nice'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
"App is good , Easy to understand but in weak 2 or 3 time service is inaceesible , please solve this issue all. dont down their service its too diffcult to us some time but overal Good❤",UBL Digital,"['App', 'service']","['good', 'inaceesible']","['positive', 'negative']","['SOFTWARE#GENERAL', 'SERVICE#GENERAL']","['APP#FEATURES', 'BRANCH_SERVICE']"
Pakistan no 1 banking,UBL Digital,['Pakistan no 1 banking'],['NULL'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
thank you for providing me a good Banking service.,UBL Digital,['Banking service'],['good'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Everything is amazing,UBL Digital,['NULL'],['amazing'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
tis soo cutee and friendly,UBL Digital,['NULL'],['cute'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
By using ubl app i can manage my every transmission everywhere anytime. highly recommend,UBL Digital,['ubl app'],['recommend'],['positive'],['SOFTWARE#USABILITY'],['APP#USABILITY_FEATURES']
"UBL digital is amazing app, it is more secure and faster than any others.",UBL Digital,['app'],['amazing'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
This not 🚫 application,UBL Digital,['application'],['NULL'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
one of the best bank and app very fast,UBL Digital,"['bank', 'app']","['best', 'fast']","['positive', 'positive']","['SUPPORT#GENERAL', 'SOFTWARE#OPERATION_PERFORMANCE']","['CUSTOMER_SUPPORT', 'APP#PERFORMANCE']"
excellent good job,UBL Digital,['job'],['excellent'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
Excellent Application very easy for use ...,UBL Digital,['Application'],['Excellent'],['positive'],['SOFTWARE#USABILITY'],['APP#USABILITY_FEATURES']
alhamdulillah bht achy hai app,UBL Digital,['alhamdulillah bht achy hai app'],['NULL'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
"I’ve had a very excellent experience with UBL. The theme of their app is amazing, and it opens much faster compared to HBL. Transactions are also processed very quickly. I used to think it was a bad bank, but now I would say there’s no better bank than this. Their service is outstanding, and even my colleagues at work say that UBL’s service is really good.",UBL Digital,"['theme of their app', 'transactions', 'processed very quickly']","['amazing', 'processed very quickly', 'good']","['positive', 'positive', 'positive']","['SOFTWARE#GENERAL', 'CODING#OPERATION_PERFORMANCE', 'CODING#OPERATION_PERFORMANCE']","['APP#FEATURES', 'Miscellaneous', 'Miscellaneous']"
Good banking App,UBL Digital,['banking App'],['Good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
"Edit: Unable to receive OTPs on email on time. Bhai email pe bhejna nai ap ne OTP time pe toh option he hata den. Debit card online use karne k baad OTP confirmation main jab b OTP request karo email pe, takes a frickin hour to send it! Ye kya bakwas service hai. OTP instant banao warna khatam kar do. Text tak mehdood karo. Will edit my review if this issue is resolved.",UBL Digital,['OTPs'],['Unable to receive'],['negative'],['SUPPORT#OPERATION_PERFORMANCE'],['SUPPORT#PERFORMANCE']
mobile bundles please ad krdo low price SA start krna,UBL Digital,"['mobile bundles', 'NULL']","['NULL', 'NULL']","['positive', 'positive']","['LAPTOP#PRICE', 'LAPTOP#PRICE']","['APP#COST_FEEDBACK', 'APP#COST_FEEDBACK']"
⭐⭐⭐⭐⭐ UBL app is very helpful for transfer funds balance and many things,UBL Digital,['UBL app'],['helpful'],['positive'],['SOFTWARE#USABILITY'],['APP#USABILITY_FEATURES']
i forget My username and password I can't reset my password They asking for last 4 digit iban number I Don't know my iban number What did i do 😢 I don't have cheque copy,UBL Digital,"['username', 'password', 'iban number']","['NULL', 'NULL', 'NULL']","['negative', 'negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL', 'SUPPORT#GENERAL']","['APP#FEATURES', 'APP#FEATURES', 'CUSTOMER_SUPPORT']"
bakwas service hai 2 maheeny hogae ATM issue fee kat li federal tax Le liya but abi tak ATM received nhi hua fee katne me 1 din nhi lagaya Bina inform kiye Lekin ab ATM nhi dia ja raha,UBL Digital,['ATM'],['NULL'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
bakwas service hai 2 maheeny hogae ATM issue fee kat li federal tax Le liya but abi tak ATM received nhi hua fee katne me 1 din nhi lagaya Bina inform kiye Lekin ab ATM nhi dia ja raha account me pessy dalne se pehly zror soch le qk apko pata b nhi chalna or pessy kat Jane hai👎,UBL Digital,['ATM'],['NULL'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
when i am enter user name password then i click continue thay wright service inaccessible why,UBL Digital,['NULL'],['inaccessible'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
easy to use with short time Excellent 👍👍,UBL Digital,['NULL'],['easy'],['positive'],['LAPTOP#USABILITY'],['APP#USABILITY']
life is easy ubl digital app ❤️❤️❤️❤️❤️❤️❤️❤️,UBL Digital,['ubl digital app'],['easy'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Best Banking Experience...,UBL Digital,['Banking Experience'],['Best'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
👍 nice to ubl Digital app,UBL Digital,['ubl Digital app'],['nice'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
it's very useful app to send or receive money from friends and family or business Good Job UBL Well Done,UBL Digital,['app'],['useful'],['positive'],['SOFTWARE#USABILITY'],['APP#USABILITY_FEATURES']
Fastest best As usual,UBL Digital,['NULL'],['best'],['positive'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
good banking system and esey mobile app,UBL Digital,"['banking system', 'esey mobile app']","['good', 'good']","['positive', 'positive']","['SUPPORT#GENERAL', 'SOFTWARE#GENERAL']","['CUSTOMER_SUPPORT', 'APP#FEATURES']"
nice and outstanding services,UBL Digital,['services'],['nice'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
app good 👍,UBL Digital,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
I like the UBL.,UBL Digital,['UBL'],['like'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
"whenever i make a purchase with my card , merchant name isn't reflecting in my statement. this just started happening after the recent updates. it only shows pos sale mastercard , kindly fix it",UBL Digital,['NULL'],['NULL'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
I am very satisfied with this app,UBL Digital,['app'],['satisfied'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
outstanding app best experience,UBL Digital,['app'],['outstanding'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Al world 🌎 in tha Best bank UBL BANK,UBL Digital,['bank UBL BANK'],['Best'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
it's too good,UBL Digital,['NULL'],['good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Alhamdulillah ma is app sy bahut faydy me hn . Ma apny friends ko UBL ko join krny ka mashwara Dena Chahta hn. shukria,UBL Digital,"['Alhamdulillah', 'NULL']","['NULL', 'NULL']","['positive', 'positive']","['SERVICE#GENERAL', 'SOFTWARE#GENERAL']","['BRANCH_SERVICE', 'APP#FEATURES']"
Excited to tell that my experience with UBL Digital app is super satisfying. no issues at all. though I was disappointed in start but now I'm really happy with this.,UBL Digital,['UBL Digital app'],['satisfying'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
This is amazing and wonderful app my experience is enjoyable 😍 and transaction is very easy and wonderful 👍,UBL Digital,"['app', 'transaction']","['amazing and wonderful', 'easy and wonderful']","['positive', 'positive']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES']"
its excellent app i used online banking ubl is the best.,UBL Digital,['app'],['excellent'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Good experience Now,UBL Digital,['experience'],['Good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Best banking app . if only i had more daily limit for other wallets.,UBL Digital,['banking app'],['Best'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
"I have been a customer of UBL since 2013. It has been twelve years now. I have not had any complaint from UBL till date. When I opened an account with UBL, I did not expect such a good service, but I was impressed by them and did not open an account with any other bank. I do a job and have been in Islamabad, Karachi, Lahore, Multan and Dera Ismail Khan for my job, but my account is only in one place, in one branch.",UBL Digital,['account with UBL'],['impressed'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
"3rd classs. More complicated then any other bank apps. I have used HBl and Meezan Bank Apps ,they are so easy to use.",UBL Digital,"['HBl', 'Mezan Bank Apps']","['complicated', 'easy to use']","['negative', 'positive']","['SOFTWARE#GENERAL', 'SOFTWARE#USABILITY']","['APP#FEATURES', 'APP#USABILITY_FEATURES']"
This is a very bad one bro never install itI made a big mistake by opening an account at this bank.that not good,UBL Digital,['bank'],['bad'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
very helpful 🙂,UBL Digital,['NULL'],['helpful'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
wonderful app everything is free,UBL Digital,['app'],['wonderful'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
i have a problem. i want to sign-up in the app but my mobile is PTA blocked and there's no option to change method to receive otp on email adress.,UBL Digital,['mobile'],['NULL'],['negative'],['PORTS#GENERAL'],['Miscellaneous']
"bad helpline service, blaming consumers for their faulty services.",UBL Digital,['helpline service'],['bad'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
My UBL app was working fine. But suddenly it started asking for verification. I tried a lot but could not succeed. I received OPT in the SIM device and SIM but the same situation and the previous device has been corrupted. Then I got a new device but again the same device is asking for verification again and again. Please tell me what I have to do now. Please provide information۔,UBL Digital,"['UBL app', 'OPT in the SIM device', 'SIM']","['fine', 'could not succeed', 'could not succeed']","['positive', 'negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE', 'PORTS#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'APP#PERFORMANCE', 'Miscellaneous']"
Very user friendly and fast app,UBL Digital,['app'],['friendly'],['positive'],['SOFTWARE#USABILITY'],['APP#USABILITY_FEATURES']
UBL has the best public service plus online love it...👏✨️,UBL Digital,"['public service', 'online']","['best', 'love']","['positive', 'positive']","['SERVICE#GENERAL', 'SOFTWARE#GENERAL']","['BRANCH_SERVICE', 'APP#FEATURES']"
outofstanding and quick service 👍🏻,UBL Digital,['service'],['outofstanding'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
very bad service for overseas people who don't have non pta devices. I was try many times for sign up but I can't. please inform me how can I use your this app out of country,UBL Digital,['service'],['bad'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
super and classic bank no fee during the transfer awesome application function,UBL Digital,"['NULL', 'application function']","['super', 'awesome']","['positive', 'positive']","['SUPPORT#GENERAL', 'SOFTWARE#GENERAL']","['CUSTOMER_SUPPORT', 'APP#FEATURES']"
"The app is great, but there's a key issue: if any family member's fingerprint is registered on the device, they can log in—even if it's not their account. This security flaw needs to be fixed.",UBL Digital,"['app', ""family member's fingerprint""]","['great', 'key issue']","['positive', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES']"
Smooth and easy to use. I have been using it for seven years. Overall a good experience.,UBL Digital,['NULL'],['Smooth'],['positive'],['LAPTOP#USABILITY'],['APP#USABILITY']
best mobile digital app,UBL Digital,['mobile digital app'],['best'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
APREICIATE TO THIS APPLICIATION,UBL Digital,['APPLICIATION'],['APREICIATE'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
excellent service by UBL,UBL Digital,['service'],['excellent'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
"They have the worst experience if it comes to issue resolution. Their application had a payment issue, and i asked them to fix it and they didnt fix the glitch for a whole week, and they kept saying they would fix it. One of the cutsomer representatives even asked me to change my account and its so disappointing although initally i had good impressjon of this bank",UBL Digital,"['application', 'payment issue', 'cutsomer representatives']","['worst experience', 'NULL', 'disappointing']","['negative', 'negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE', 'SERVICE#GENERAL']","['APP#PERFORMANCE', 'APP#PERFORMANCE', 'BRANCH_SERVICE']"
You are Digital Robbers. decline payment not reverse,UBL Digital,['payment'],['decline'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
exceptional service you are providing thanks,UBL Digital,['service'],['exceptional'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
i m satisfied,UBL Digital,['NULL'],['satisfied'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
Most advance app than other banks.,UBL Digital,['app'],['Advanced'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Ubl digital app very good and easy love ubl,UBL Digital,['Ubl digital app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
"UBL account statement section is not working properly, 100% not working, we check our previous record if we have any doubt, but they don't update it , in account Statement there is some other amount, and in actual other amount",UBL Digital,['account statement'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
best app ever,UBL Digital,['app'],['best'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
ubl digital app is very smoothly and comfortable for use,UBL Digital,['ubl digital app'],['smoothly'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
I am realy enjoying ubl digital services.,UBL Digital,['ubl digital services'],['enjoying'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
UBL digital app is almost amazing,UBL Digital,['UBL digital app'],['amazing'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
this is Very good And me very important App Thanks ubl,UBL Digital,['App'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
ubl provide great services .,UBL Digital,['ubl'],['great'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
"I’ve been using the UBL app for a while, but the experience has become really frustrating over the last few months. The app is extremely slow, crashes frequently, and fails to complete basic transactions like fund transfers. Customer support is not responsive either. It's disappointing that such a major bank can't maintain a reliable app for its users. Needs serious improvement.",UBL Digital,"['UBL app', 'customer support']","['frustrating', 'not responsive']","['negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'SUPPORT#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'SUPPORT#PERFORMANCE']"
good 👍 bank,UBL Digital,['NULL'],['good'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
Mashallah Mashallah Good & smoothly experience...,UBL Digital,['Mashallah Mashallah'],['Good'],['positive'],['RESTAURANT#GENERAL'],['LOCATION_FEEDBACK_MISC']
1. very lengthy account opening process. 2. too many useless verifications 3. no advanced process even jazz Cash and easy pesa biometric verification is through online app,UBL Digital,"['account opening process', 'pesa biometric verification']","['longer', 'easy']","['negative', 'positive']","['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'APP#PERFORMANCE']"
it's just a very good experience to use first time digital banking with ubl.,UBL Digital,['ubl'],['good'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
excellent 👌 & great work,UBL Digital,"['NULL', 'work']","['excellent', 'great']","['positive', 'positive']","['LAPTOP#GENERAL', 'SERVICE#GENERAL']","['APP#GENERAL_EXPERIENCE', 'BRANCH_SERVICE']"
"best UI/UX design app in Pakistan, smooth and fast",UBL Digital,['UI/UX design app'],['best'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
zabar10 app hian yarr,UBL Digital,['zabar10 app'],['NULL'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
1 out of 10 times i can log in from the app. msg appearing is servic inaccesible. Worst experience even after lodging a complaint on helpline issue is still unresolved.,UBL Digital,"['msg appearing', 'helpline issue']","['servicec inaccesible', 'unresolved']","['negative', 'negative']","['SERVICE#GENERAL', 'SUPPORT#GENERAL']","['BRANCH_SERVICE', 'CUSTOMER_SUPPORT']"
UBL app is a very good app. You can check your money on your mobile anytime. It works very fast. I really like this app.,UBL Digital,['UBL app'],['good'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Is it so slow wasting of time careat & download an other app.,UBL Digital,['NULL'],['slow'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
ubl mobile app is not working.mayment transfer NAHI ho Rahi please guide me thank you,UBL Digital,['ubl mobile app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
"UBL Digital Application is a very high-quality service provider. It should be further enhanced with facilities like mobile packages, government fees, and Nadra e-Sahulat for land owner fee submission.",UBL Digital,"['service provider', 'mobile packages', 'government fees', 'Nadra e-Sahulat']","['high-quality', 'high-quality', 'high-quality', 'high-quality']","['positive', 'positive', 'positive', 'positive']","['SERVICE#GENERAL', 'LAPTOP#GENERAL', 'FEATURES', 'LAPTOP#GENERAL']","['BRANCH_SERVICE', 'APP#GENERAL_EXPERIENCE', 'Miscellaneous', 'APP#GENERAL_EXPERIENCE']"
very fast and easy to access really enjoyed it keep it up,UBL Digital,['NULL'],['fast'],['positive'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
