Unnamed: 0,bank,review,rating,Aspects,Opinions,Sentiments,Categories,Simplified_Category
13,review,"Indian Bank cash deposit machine is not convenient to use and i am using this saving account more than 10 years. The customer service is need to improve and I am keeping minimum balance of Rs. 500. Their net banking facility is okay, I went to the branch for the cash deposit and the response is okay.",3.0,net banking facility,okay,neutral,SUPPORT#GENERAL,SUPPORT
14,SBI,"SBI has best Internet banking and its very fast and easy to access any one. I am using this savings account more than 10 years,  if i withdrawal cash more than 5 time no charges. Mostly i am not taking cash at ATM.  I am doing more transcation, so no need to maintain minimum balance and getting immediate response from customer service Bank employees attitude must be change.",4.0,Internet banking,best,positive,SBI#GENERAL,BANK
14,SBI,"SBI has best Internet banking and its very fast and easy to access any one. I am using this savings account more than 10 years,  if i withdrawal cash more than 5 time no charges. Mostly i am not taking cash at ATM.  I am doing more transcation, so no need to maintain minimum balance and getting immediate response from customer service Bank employees attitude must be change.",4.0,SBI,fast,positive,SUPPORT#GENERAL,SUPPORT
14,SBI,"SBI has best Internet banking and its very fast and easy to access any one. I am using this savings account more than 10 years,  if i withdrawal cash more than 5 time no charges. Mostly i am not taking cash at ATM.  I am doing more transcation, so no need to maintain minimum balance and getting immediate response from customer service Bank employees attitude must be change.",4.0,savings account,easy,positive,SUPPORT#GENERAL,SUPPORT
15,review,"YES bank service is good, I have been holding saving  account for more than 4 years  but  past two years I am not using  this account , because I forget net banking details if I contact the customer care there is no response so stop using this account itself. ATM and branches services are good.  I use to get alert message on time.",4.0,bank service,good,positive,SUPPORT#GENERAL,SUPPORT
15,review,"YES bank service is good, I have been holding saving  account for more than 4 years  but  past two years I am not using  this account , because I forget net banking details if I contact the customer care there is no response so stop using this account itself. ATM and branches services are good.  I use to get alert message on time.",4.0,saving account,not using,negative,SOFTWARE#GENERAL,SOFTWARE
15,review,"YES bank service is good, I have been holding saving  account for more than 4 years  but  past two years I am not using  this account , because I forget net banking details if I contact the customer care there is no response so stop using this account itself. ATM and branches services are good.  I use to get alert message on time.",4.0,ATM and branches services,good,positive,SUPPORT#GENERAL,SUPPORT
16,Axis Bank,I am holding a salary account with AXIS bank past  2.5 years. I got an immediate alert message on time. I am using mobile app and net banking both are user friendly to access. I need to pay 500 rupees around  for SMS charge and account service on yearly basis.,4.5,SMS charge,immediate alert,positive,SMS#GENERAL,COMMUNICATION
16,Axis Bank,I am holding a salary account with AXIS bank past  2.5 years. I got an immediate alert message on time. I am using mobile app and net banking both are user friendly to access. I need to pay 500 rupees around  for SMS charge and account service on yearly basis.,4.5,account service,friendly,positive,SMS#GENERAL,COMMUNICATION
17,SBI,I am using saving account from SBI almost 7-8 years.  Minimum amount need to maintain of 1-5K on monthly basis.  I get only OTP number on time but once the amount debited or credited I wont get any message from their end. I am using  net banking and it is good to access.  There is some charge of 500 rupees on yearly need to pay.,4.0,saving account,NULL,negative,SUPPORT#GENERAL,SUPPORT
17,SBI,I am using saving account from SBI almost 7-8 years.  Minimum amount need to maintain of 1-5K on monthly basis.  I get only OTP number on time but once the amount debited or credited I wont get any message from their end. I am using  net banking and it is good to access.  There is some charge of 500 rupees on yearly need to pay.,4.0,net banking,good,positive,SUPPORT#GENERAL,SUPPORT
18,review,"Since 14 years, I am using Oriental Bank savings account and this branch is located very far. ATM service is near and i am keeping minimum balance of Rs. 2500 customer service and this bank app is really good. Instantly I am getting messages from bank.",3.0,Oriental Bank savings account,far,positive,SUPPORT#GENERAL,SUPPORT
18,review,"Since 14 years, I am using Oriental Bank savings account and this branch is located very far. ATM service is near and i am keeping minimum balance of Rs. 2500 customer service and this bank app is really good. Instantly I am getting messages from bank.",3.0,ATM service,near,positive,SERVICE#GENERAL,SERVICE
18,review,"Since 14 years, I am using Oriental Bank savings account and this branch is located very far. ATM service is near and i am keeping minimum balance of Rs. 2500 customer service and this bank app is really good. Instantly I am getting messages from bank.",3.0,bank app,good,positive,SOFTWARE#GENERAL,SOFTWARE
19,HDFC Bank,I have Hdfc bank salary account for the past 3 to 4 years . I am using mobile  banking service is used for all transactions and money transfer .If contact customer service for any query then wil be getting good response .I am satisfied with the overall banking service .,4.0,mobile banking service,satisfied,positive,SUPPORT#GENERAL,SUPPORT
20,SBI,"I maintain salary cum saving account with SBI. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 rupees. ATM charges are applicable if I cross more than 5 times in a month of 40 rupees.",5.0,salary cum saving account,maintain,positive,SUPPORT#GENERAL,SUPPORT
20,SBI,"I maintain salary cum saving account with SBI. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 rupees. ATM charges are applicable if I cross more than 5 times in a month of 40 rupees.",5.0,SBI,suggested to opened an account,positive,COMPANY#GENERAL,OTHER
20,SBI,"I maintain salary cum saving account with SBI. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 rupees. ATM charges are applicable if I cross more than 5 times in a month of 40 rupees.",5.0,SMS charge,applied of 12 - 15 rupees,positive,CHARGE#QUALITY,CHARGE
20,SBI,"I maintain salary cum saving account with SBI. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 rupees. ATM charges are applicable if I cross more than 5 times in a month of 40 rupees.",5.0,ATM charges,applied if I cross more than 5 times in a month of 40 rupees,positive,CHARGE#QUALITY,CHARGE
21,review,Standard Chartered Bank has a very good app and i am using this account more than 9 years. This is a salary comes savings account so need to maintain minimum balance and the customer service is very very good.  I am continuously getting offer messages from bank.,5.0,app,good,positive,SOFTWARE#GENERAL,SOFTWARE
21,review,Standard Chartered Bank has a very good app and i am using this account more than 9 years. This is a salary comes savings account so need to maintain minimum balance and the customer service is very very good.  I am continuously getting offer messages from bank.,5.0,customer service,good,positive,SUPPORT#GENERAL,SUPPORT
22,IndusInd Bank,I maintain a saving account with INDUSIND for the past 1 year. I no need to maintain a minimum balance account. Since my friend is working as a executive and he has recommend to open an account with them. Hence I chosen it. I use this account for the transaction. I use to get offers message from their end.,4.0,saving account,recommend,positive,SOFTWARE#GENERAL,SOFTWARE
23,Axis Bank,AXIS has given an option to maintain a account with them and I am holding for past 12 years. On yearly basis charge is applicable of 15 to 30 rupees and it will be reflecting in statement as well. ATM and branch services are good. Whenever they provide offers I use to get by message.,4.5,ATM,good,positive,SINCE#GENERAL,OTHER
23,Axis Bank,AXIS has given an option to maintain a account with them and I am holding for past 12 years. On yearly basis charge is applicable of 15 to 30 rupees and it will be reflecting in statement as well. ATM and branch services are good. Whenever they provide offers I use to get by message.,4.5,branches services,good,positive,SINCE#GENERAL,OTHER
24,SBI,"Since 11 years, i am using this SBI account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too.",4.0,SBI account,convenient,positive,SOFTWARE#GENERAL,SOFTWARE
24,SBI,"Since 11 years, i am using this SBI account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too.",4.0,customer service,good,positive,SUPPORT#GENERAL,SUPPORT
24,SBI,"Since 11 years, i am using this SBI account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too.",4.0,responses,proper,positive,SUPPORT#GENERAL,SUPPORT
24,SBI,"Since 11 years, i am using this SBI account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too.",4.0,interest rate,okay,positive,interest rate,FINANCE
25,HDFC Bank,"I am holding salary account with HDFC Bank for the past 7-8 months . Since its this a salary account, no need to maintain a minimum balance amount. I am not using atm since i have paytm service  and mobile app which are quite easy to access. When ever, i log into it am getting a blank screen that need to be changed. The customer service is  good and responding properly.",4.0,paytm service,easy to access,positive,SUPPORT#GENERAL,SUPPORT
25,HDFC Bank,"I am holding salary account with HDFC Bank for the past 7-8 months . Since its this a salary account, no need to maintain a minimum balance amount. I am not using atm since i have paytm service  and mobile app which are quite easy to access. When ever, i log into it am getting a blank screen that need to be changed. The customer service is  good and responding properly.",4.0,mobile app,easy to access,positive,SOFTWARE#OPERATION_PERFORMANCE,SOFTWARE
25,HDFC Bank,"I am holding salary account with HDFC Bank for the past 7-8 months . Since its this a salary account, no need to maintain a minimum balance amount. I am not using atm since i have paytm service  and mobile app which are quite easy to access. When ever, i log into it am getting a blank screen that need to be changed. The customer service is  good and responding properly.",4.0,customer service,good and responding properly,positive,SUPPORT#GENERAL,SUPPORT
26,Kotak,I have opened my savings account from Kotak Mahindra bank more than 2.5 years and am making all transaction through this bank account. They have provided me a zero balance account.  I can find their branch's in all the places. They are not taking any kind of hidden charges.,5.0,savings account,NULL,positive,SUPPORT#GENERAL,SUPPORT
26,Kotak,I have opened my savings account from Kotak Mahindra bank more than 2.5 years and am making all transaction through this bank account. They have provided me a zero balance account.  I can find their branch's in all the places. They are not taking any kind of hidden charges.,5.0,bank account,NULL,positive,SUPPORT#GENERAL,SUPPORT
27,HDFC Bank,My salary account is maintained with HDFC Bank for nearly 10 years and till now there was no issues. Its a friendly bank according to my experience. I am using the online service which is very good. Their customer service was good but fixed deposit interest rates was less.,5.0,salary account,maintained,positive,SUPPORT#GENERAL,SUPPORT
27,HDFC Bank,My salary account is maintained with HDFC Bank for nearly 10 years and till now there was no issues. Its a friendly bank according to my experience. I am using the online service which is very good. Their customer service was good but fixed deposit interest rates was less.,5.0,online service,good,positive,SUPPORT#GENERAL,SUPPORT
27,HDFC Bank,My salary account is maintained with HDFC Bank for nearly 10 years and till now there was no issues. Its a friendly bank according to my experience. I am using the online service which is very good. Their customer service was good but fixed deposit interest rates was less.,5.0,fixed deposit interest rates,less,negative,SUPPORT#GENERAL,SUPPORT
28,SBI,"I have been using saving account with SBI for the past 7 years. I have visited the branch to open an account, but their service is not much satisfied. I need to maintain a minimum balance of 2K on monthly basis if not charges are applicable which is high. There is some hidden charge, they use to detect some amount on quarterly.",3.0,saving account,not much satisfied,negative,SUPPORT#GENERAL,SUPPORT
28,SBI,"I have been using saving account with SBI for the past 7 years. I have visited the branch to open an account, but their service is not much satisfied. I need to maintain a minimum balance of 2K on monthly basis if not charges are applicable which is high. There is some hidden charge, they use to detect some amount on quarterly.",3.0,service,not much satisfied,negative,SERVICE#GENERAL,SERVICE
28,SBI,"I have been using saving account with SBI for the past 7 years. I have visited the branch to open an account, but their service is not much satisfied. I need to maintain a minimum balance of 2K on monthly basis if not charges are applicable which is high. There is some hidden charge, they use to detect some amount on quarterly.",3.0,hidden charge,use to detect some amount,negative,CHARGE#GENERAL,CHARGE
29,review,I am doing all my transactions with Indian bank and this branch is near to my residence. I am keeping minimum balance of Rs. 1000 and i have not faced any issues till now. Indian Bank has a very good customer service and this savings account has a normal rate of interest.,5.0,customer service,good,positive,SUPPORT#GENERAL,SUPPORT
29,review,I am doing all my transactions with Indian bank and this branch is near to my residence. I am keeping minimum balance of Rs. 1000 and i have not faced any issues till now. Indian Bank has a very good customer service and this savings account has a normal rate of interest.,5.0,savings account,normal rate of interest,positive,LAPTOP#PRICE,LAPTOP
30,SBI,"I am maintaining my savings account with SBI, i have been using more than 10 years. This is only savings account, so i need to maintain minimum balance of Rs. 1000 for cash withdrawal, shopping i am receiving alert message and this bank has a very good app. I didn't interact with the customer service till date. Rest all good with this bank.",4.0,savings account,good,positive,SOFTWARE#GENERAL,SOFTWARE
30,SBI,"I am maintaining my savings account with SBI, i have been using more than 10 years. This is only savings account, so i need to maintain minimum balance of Rs. 1000 for cash withdrawal, shopping i am receiving alert message and this bank has a very good app. I didn't interact with the customer service till date. Rest all good with this bank.",4.0,app,good,positive,SOFTWARE#GENERAL,SOFTWARE
30,SBI,"I am maintaining my savings account with SBI, i have been using more than 10 years. This is only savings account, so i need to maintain minimum balance of Rs. 1000 for cash withdrawal, shopping i am receiving alert message and this bank has a very good app. I didn't interact with the customer service till date. Rest all good with this bank.",4.0,customer service,good,negative,SUPPORT#GENERAL,SUPPORT
31,HDFC Bank,I use to get my salary from HDFC bank because my company has given an option only from this bank. I am using this account past 5 years. So far I haven't faced any additional or hidden charge. No need to maintain a minimum balance account. ATM charges are applicable if I done a transactions  more than 5 times in a month.  I would suggest to provide more product offer.,5.0,HDFC bank,NULL,positive,SUPPORT#GENERAL,SUPPORT
32,Kotak,I maintain my savings account  with KOTAK bank for more than 2 years. There is no hidden charges in this bank. When I visit online at that time I came to know this bank has offered a zero balance account so I chosen it. I am not getting any offers message from bank end.,4.0,savings account,maintain,positive,SUPPORT#GENERAL,SUPPORT
32,Kotak,I maintain my savings account  with KOTAK bank for more than 2 years. There is no hidden charges in this bank. When I visit online at that time I came to know this bank has offered a zero balance account so I chosen it. I am not getting any offers message from bank end.,4.0,zero balance account,NULL,positive,SUPPORT#GENERAL,SUPPORT
33,review,I am holding a saving account with INDIAN BANK for more than 5 years. For my personal need I had opened an account with this bank but the branch is not near to reach them. I need to maintain a minimum balance of 500 rupees. I use to get an alert messages from bank whenever I do a transactions but not getting any offer message.,4.0,saving account,NULL,neutral,SUPPORT#GENERAL,SUPPORT
33,review,I am holding a saving account with INDIAN BANK for more than 5 years. For my personal need I had opened an account with this bank but the branch is not near to reach them. I need to maintain a minimum balance of 500 rupees. I use to get an alert messages from bank whenever I do a transactions but not getting any offer message.,4.0,bank,NULL,negative,SUPPORT#GENERAL,SUPPORT
34,review,My company has given an option to open a salary account  with STANDARD CHARTERED BANK and I maintain this account just 8 months. It is a  zero balance account. I am using mobile app and it is user friendly to access. Branches are bit far away from my place to reach them. I am not getting any offers message.,4.0,salary account,NULL,positive,SUPPORT#GENERAL,SUPPORT
34,review,My company has given an option to open a salary account  with STANDARD CHARTERED BANK and I maintain this account just 8 months. It is a  zero balance account. I am using mobile app and it is user friendly to access. Branches are bit far away from my place to reach them. I am not getting any offers message.,4.0,mobile app,friendly,positive,SOFTWARE#USABILITY,SOFTWARE
35,SBI,Past 9 years I maintain my saving account with SBI. The branch and ATM services are fine. Whenever contact the customer service is good and responsive. I use to get offer message from their end. So far there is no any hidden charge in this account. Though its saving account I no need to maintain a minimum balance amount.,4.0,saving account,fine,positive,SOFTWARE#GENERAL,SOFTWARE
36,review,I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.,4.5,salary account,no hidden charges,positive,SUPPORT#GENERAL,SUPPORT
36,review,I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.,4.5,mobile app,friendly,positive,SOFTWARE#GENERAL,SOFTWARE
36,review,I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.,4.5,net banking,friendly,positive,SOFTWARE#GENERAL,SOFTWARE
36,review,I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.,4.5,ATM,friendly,positive,SOFTWARE#GENERAL,SOFTWARE
36,review,I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.,4.5,branches services,good,positive,SOFTWARE#GENERAL,SOFTWARE
37,Canara Bank,I am not getting an alert message from CANARA bank whenever I do a transaction from their end. So they need to provide better option to the customer to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years.,3.0,CANARA bank,NULL,negative,SUPPORT#GENERAL,SUPPORT
38,HDFC Bank,I maintain my salary cum saving account with HDFC bank for more than a year. No need to maintain a minimum balance account. So far there is no any hidden charges. I can do transaction upto 40K. I use mobile app and net banking service both are good.  On time I get alert message from bank for each transaction.,5.0,salary cum saving account,no need to maintain a,positive,SUPPORT#GENERAL,SUPPORT
38,HDFC Bank,I maintain my salary cum saving account with HDFC bank for more than a year. No need to maintain a minimum balance account. So far there is no any hidden charges. I can do transaction upto 40K. I use mobile app and net banking service both are good.  On time I get alert message from bank for each transaction.,5.0,mobile app,good,positive,SOFTWARE#GENERAL,SOFTWARE
38,HDFC Bank,I maintain my salary cum saving account with HDFC bank for more than a year. No need to maintain a minimum balance account. So far there is no any hidden charges. I can do transaction upto 40K. I use mobile app and net banking service both are good.  On time I get alert message from bank for each transaction.,5.0,net banking service,good,positive,SUPPORT#GENERAL,SUPPORT
39,review,I am  using Karur Vysya Bank saving account for the past  5 years only.I will receive email as well as message alert and customer service  is also good on this bank .If I contact them for any query giving good response and banking service is much comfortable .I am happy with the service as well.,4.0,customer service,good,positive,SUPPORT#GENERAL,SUPPORT
39,review,I am  using Karur Vysya Bank saving account for the past  5 years only.I will receive email as well as message alert and customer service  is also good on this bank .If I contact them for any query giving good response and banking service is much comfortable .I am happy with the service as well.,4.0,banking service,comfortable,positive,SERVICE#GENERAL,SERVICE
40,Canara Bank,"Canara Bank has a very good app and also internet banking is very user friendly. This is a salary cums savings, no need to maintain a minimum balance. If i withdrawal cash or done shopping, i am getting alert messages from bank end and they given me a domestic debit card.",4.0,app,good,positive,SOFTWARE#GENERAL,SOFTWARE
40,Canara Bank,"Canara Bank has a very good app and also internet banking is very user friendly. This is a salary cums savings, no need to maintain a minimum balance. If i withdrawal cash or done shopping, i am getting alert messages from bank end and they given me a domestic debit card.",4.0,internet banking,user friendly,positive,SOFTWARE#GENERAL,SOFTWARE
40,Canara Bank,"Canara Bank has a very good app and also internet banking is very user friendly. This is a salary cums savings, no need to maintain a minimum balance. If i withdrawal cash or done shopping, i am getting alert messages from bank end and they given me a domestic debit card.",4.0,balance,no need to maintain,positive,LAPTOP#OPERATION_PERFORMANCE,LAPTOP
41,Axis Bank,I am maintaining minimum balance of Rs. 250 + GST for Axis Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.,5.0,Axis Bank savings account,no hidden charges,positive,SUPPORT#GENERAL,SUPPORT
41,Axis Bank,I am maintaining minimum balance of Rs. 250 + GST for Axis Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.,5.0,debit card,good,positive,SUPPORT#GENERAL,SUPPORT
41,Axis Bank,I am maintaining minimum balance of Rs. 250 + GST for Axis Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.,5.0,customer service,good,positive,SERVICE#GENERAL,SERVICE
41,Axis Bank,I am maintaining minimum balance of Rs. 250 + GST for Axis Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.,5.0,rate of interest,non-impeccable,positive,PRICE#GENERAL,PRICE
42,review,I am keeping minimum balance of Rs. 1000 for UNITED BANK OF INDIA. Since 12 years i am using this savings account and they given a domestic debit card. This bank has a good application and their service was fine. ATM facilities is not good which is not nearby my place.,4.0,savings account,good,positive,SUPPORT#GENERAL,SUPPORT
42,review,I am keeping minimum balance of Rs. 1000 for UNITED BANK OF INDIA. Since 12 years i am using this savings account and they given a domestic debit card. This bank has a good application and their service was fine. ATM facilities is not good which is not nearby my place.,4.0,service,fine,positive,SERVICE#GENERAL,SERVICE
42,review,I am keeping minimum balance of Rs. 1000 for UNITED BANK OF INDIA. Since 12 years i am using this savings account and they given a domestic debit card. This bank has a good application and their service was fine. ATM facilities is not good which is not nearby my place.,4.0,ATM facilities,not good,negative,SERVICE#GENERAL,SERVICE
43,review,"Last 7 years, i have been using the salary account from YES bank and its a hassle free account to use. They are not taking any hidden charges. Once i called the customer care for the debit card purpose and the response was good. There is no extra charges for fund transfer like IMPS and NEFT. Their mobile banking service need to be improved.",4.0,salary account,hover hassle free,positive,SUPPORT#GENERAL,SUPPORT
43,review,"Last 7 years, i have been using the salary account from YES bank and its a hassle free account to use. They are not taking any hidden charges. Once i called the customer care for the debit card purpose and the response was good. There is no extra charges for fund transfer like IMPS and NEFT. Their mobile banking service need to be improved.",4.0,customer care,good,positive,SUPPORT#GENERAL,SUPPORT
43,review,"Last 7 years, i have been using the salary account from YES bank and its a hassle free account to use. They are not taking any hidden charges. Once i called the customer care for the debit card purpose and the response was good. There is no extra charges for fund transfer like IMPS and NEFT. Their mobile banking service need to be improved.",4.0,debit card,good,positive,SUPPORT#GENERAL,SUPPORT
44,review,"For cash withdrawal, i am getting instantly alert messages from Indian Bank some times due to software problem i am unable to get messages. Since 16 years i am using this account, so no need to maintain minimum balance.  ATM facilities are near and debit card charges are applicable.",5.0,cash withdrawal,NULL,negative,SUPPORT#GENERAL,SUPPORT
44,review,"For cash withdrawal, i am getting instantly alert messages from Indian Bank some times due to software problem i am unable to get messages. Since 16 years i am using this account, so no need to maintain minimum balance.  ATM facilities are near and debit card charges are applicable.",5.0,Indian Bank,NULL,negative,SUPPORT#GENERAL,SUPPORT
45,SBI,"SBI has a very good application, since i am using this savings account more than 7 years. No need to maintain minimum balance,  because this is a salary comes savings account. For cash withdrawal and all i am getting instantly alert text.  I am not getting any offer message from bank and their service was good.",5.0,application,good,positive,SOFTWARE#GENERAL,SOFTWARE
